Game#,date,Two-pointers made,Two-pointers attempted,Three-pointers made,Three-pointers attempted,Assists,Turnovers,Compliments given,Compliments received,Game Type,Friends on team,Points,W/L,Rebounds,Steals
1,2022-09-21,0,2,0,1,3,2,3,0,5-on-5,0,0,L,3,1
2,2022-09-21,1,1,2,3,2,1,4,3,5-on-5,0,8,L,3,0
3,2022-09-21,0,0,0,3,2,2,2,0,5-on-5,0,0,L,4,0
4,2022-09-30,0,0,1,2,2,2,2,1,5-on-5,0,3,W,2,0
5,2022-10-01,0,0,2,3,3,0,2,2,5-on-5,1,6,L,3,0
6,2022-10-01,0,0,1,1,4,0,3,1,5-on-5,1,3,W,3,0
7,2022-10-06,3,4,3,5,2,0,5,3,3-on-3,0,15,W,3,0
8,2022-10-06,2,2,2,5,2,0,6,3,3-on-3,0,10,W,2,0
9,2022-10-06,0,2,4,7,4,0,4,4,2-on-2,0,12,W,3,1
10,2022-10-06,1,2,3,6,2,0,3,3,3-on-3,0,11,L,4,0
11,2022-10-06,1,3,2,4,3,1,2,0,3-on-3,0,8,L,4,0
12,2022-10-06,0,2,1,4,2,2,2,1,3-on-3,0,3,L,3,0
13,2022-10-13,2,2,1,1,2,1,2,0,5-on-5,0,7,W,3,1
14,2022-10-13,1,3,2,4,1,1,3,0,5-on-5,0,8,L,2,1
15,2022-10-13,0,2,1,2,3,2,3,1,5-on-5,1,3,W,2,1
16,2022-10-24,0,1,0,3,2,2,2,1,3-on-3,1,0,L,2,0
17,2022-10-24,3,5,1,2,1,2,3,1,5-on-5,1,9,L,2,0
18,2022-10-25,3,6,2,2,2,0,0,2,5-on-5,0,12,W,4,1
19,2022-10-26,1,3,1,3,0,1,1,4,3-on-3,0,5,W,1,1
20,2022-11-05,1,1,2,2,0,0,2,2,3-on-3,0,8,L,2,1
21,2022-11-05,1,2,2,3,1,1,2,0,5-on-5,1,8,L,1,0
22,2022-11-05,2,3,2,3,2,0,2,2,5-on-5,0,10,W,0,0
23,2022-11-05,1,2,2,2,3,0,3,1,5-on-5,0,8,W,4,0
24,2022-11-05,0,1,1,1,3,0,3,5,5-on-5,0,3,W,4,0
25,2022-11-06,1,1,2,2,2,0,2,2,3-on-3,0,8,W,4,0
26,2022-11-06,2,3,1,2,2,0,1,2,3-on-3,0,7,W,3,1
27,2022-11-06,3,3,3,4,1,0,2,2,3-on-3,5,15,W,4,0
28,2022-11-06,2,4,3,5,2,0,3,3,3-on-3,5,13,W,4,0
29,2022-11-06,1,3,2,5,2,0,4,2,3-on-3,5,8,W,3,0
30,2022-11-06,2,5,1,4,1,0,4,2,3-on-3,5,7,L,3,0
31,2022-11-06,1,3,0,3,1,0,3,3,3-on-3,5,2,W,4,0
32,2022-11-11,2,3,1,6,2,3,3,3,3-on-3,0,7,W,3,0
33,2022-11-11,4,5,1,4,3,2,3,3,3-on-3,0,11,W,4,0
34,2022-11-11,2,3,2,4,3,3,2,3,5-on-5,0,10,L,2,0
35,2022-11-11,4,5,2,3,2,1,2,2,5-on-5,0,14,L,1,0
36,2022-11-11,3,3,0,3,1,2,2,3,5-on-5,0,6,W,3,0
37,2022-11-11,3,7,0,2,1,2,3,1,5-on-5,0,6,W,3,0
38,2022-11-11,0,0,0,2,3,0,2,0,5-on-5,1,0,L,2,0
39,2022-11-11,0,1,0,1,2,0,2,0,5-on-5,0,0,L,3,0
40,2022-11-11,1,2,0,0,2,0,2,2,5-on-5,0,2,W,2,0
41,2022-11-11,1,1,0,0,2,0,1,3,5-on-5,0,2,L,1,0
42,2022-11-11,2,4,2,3,1,1,1,1,3-on-3,0,10,L,3,1
43,2022-11-11,2,3,1,3,2,1,2,0,3-on-3,0,7,L,4,0
44,2022-11-11,2,2,3,6,2,0,2,2,3-on-3,0,13,W,2,0
45,2022-11-11,3,6,1,2,1,0,1,2,3-on-3,0,9,W,1,0
46,2022-11-11,4,6,0,3,2,0,1,0,3-on-3,0,8,W,2,0
47,2022-11-11,1,3,1,3,3,0,1,1,3-on-3,0,5,L,3,0
48,2022-11-17,1,2,2,5,3,2,3,2,3-on-3,0,8,L,2,0
49,2022-11-17,2,3,2,4,2,2,2,2,3-on-3,0,10,W,3,0
50,2022-11-17,0,1,1,4,0,1,2,2,3-on-3,0,3,W,2,0
51,2022-11-17,0,1,1,3,1,1,2,1,3-on-3,0,3,L,2,0
52,2022-11-18,0,0,1,1,4,1,3,1,5-on-5,0,3,W,5,0
53,2022-11-18,0,1,1,2,3,1,3,1,5-on-5,0,3,W,4,0
54,2022-11-18,0,0,2,4,1,0,2,2,5-on-5,0,6,W,3,0
55,2022-11-18,0,0,0,6,0,0,0,0,5-on-5,0,0,L,2,0
56,2022-11-18,0,0,1,1,2,0,4,1,5-on-5,0,3,W,3,0
57,2022-11-21,1,3,2,3,1,2,2,2,5-on-5,0,8,W,3,0
58,2022-11-21,1,2,3,4,3,0,3,4,3-on-3,0,11,W,4,1
59,2022-11-21,1,2,2,5,3,2,3,2,5-on-5,0,8,W,1,0
60,2022-11-21,0,2,0,3,2,2,3,2,5-on-5,0,0,L,3,1
61,2022-11-21,0,0,0,3,1,0,2,0,5-on-5,0,0,W,2,0
62,2022-11-28,0,0,0,3,0,0,3,0,5-on-5,0,0,L,3,0
63,2022-11-28,0,0,0,2,2,0,3,0,5-on-5,0,0,W,4,0
64,2022-11-28,1,3,0,1,1,0,2,1,5-on-5,0,2,L,2,0
65,2022-11-28,0,0,0,1,1,0,1,0,5-on-5,0,0,L,3,0
66,2022-12-03,2,3,2,6,1,1,3,4,5-on-5,4,10,W,5,0
67,2022-12-03,2,2,3,4,2,1,3,3,5-on-5,5,13,W,3,0
68,2022-12-03,3,4,3,6,2,0,4,3,5-on-5,5,15,W,2,0
69,2022-12-03,1,3,2,3,1,0,3,3,5-on-5,5,8,W,3,0
70,2022-12-03,1,2,3,5,1,0,4,3,5-on-5,5,11,W,1,0
